country,count,points
US,54504.0,88.6
France,22093.0,88.8
Italy,19540.0,88.6
Spain,6645.0,87.3
Portugal,5691.0,88.3
Chile,4472.0,86.5
Argentina,3800.0,86.7
Austria,3345.0,90.1
Australia,2329.0,88.6
Germany,2165.0,89.9
New Zealand,1419.0,88.3
South Africa,1401.0,88.1
Israel,505.0,88.5
Greece,466.0,87.3
Canada,257.0,89.4
Hungary,146.0,89.2
Bulgaria,141.0,87.9
Romania,120.0,86.4
Uruguay,109.0,86.8
Turkey,90.0,88.1
Slovenia,87.0,88.1
Georgia,86.0,87.7
England,74.0,91.6
Croatia,73.0,87.2
Mexico,70.0,85.3
,63.0,88.6
Moldova,59.0,87.2
Brazil,52.0,84.7
Lebanon,35.0,87.7
Morocco,28.0,88.6
Peru,16.0,83.6
Ukraine,14.0,84.1
Macedonia,12.0,86.8
Czech Republic,12.0,87.2
Serbia,12.0,87.5
Cyprus,11.0,87.2
India,9.0,90.2
Switzerland,7.0,88.6
Luxembourg,6.0,88.7
Bosnia and Herzegovina,2.0,86.5
Armenia,2.0,87.5
Slovakia,1.0,87.0
China,1.0,89.0
Egypt,1.0,84.0
